SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,charges_ratio,service_count,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_13-24,tenure_group_25-48,tenure_group_48+,customerID
0,1,29.85,29.85,0,1.0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7590-VHVEG
0,34,56.95,1889.5,0,0.03014024874305372,4,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5575-GNVDE
0,2,53.85,108.15,1,0.49791955617198336,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3668-QPYBK
0,45,42.3,1840.75,0,0.02297976368328127,4,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,7795-CFOCW
0,2,70.7,151.65,1,0.4662050774810419,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9237-HQITU
0,8,99.65,820.5,1,0.1214503351614869,6,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,9305-CDSKC
0,22,89.1,1949.4,0,0.04570637119113573,5,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1452-KIOVK
0,10,29.75,301.9,0,0.09854256376283538,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6713-OKOMC
0,28,104.8,3046.05,1,0.034405213309039576,7,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,7892-POOKP
0,62,56.15,3487.95,0,0.016098281225361603,4,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6388-TABGU
0,13,49.95,587.45,0,0.08502851306494169,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,9763-GRSKD
0,16,18.95,326.8,0,0.05798653610771114,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,7469-LKBCI
0,58,100.35,5681.1,0,0.017663832708454348,6,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,8091-TTVAX
0,49,103.7,5036.3,1,0.02059051287651649,7,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0280-XJGEX
0,25,105.5,2686.05,0,0.03927700526795853,7,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,5129-JLPIS
0,69,113.25,7895.15,0,0.014344249317619046,9,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,3655-SNQYZ
0,52,20.65,1022.95,0,0.020186714893201035,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,8191-XWSZG
0,71,106.7,7382.25,0,0.01445358799823902,7,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,9959-WOFKT
0,10,55.2,528.35,1,0.10447619948897512,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4190-MFLUW
0,21,90.05,1862.9,0,0.0483386118417521,5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,4183-MYFRB
1,1,39.65,39.65,1,1.0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,8779-QRDMV
0,12,19.8,202.25,0,0.09789864029666255,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1680-VDCWW
0,1,20.15,20.15,1,1.0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1066-JKSGK
0,58,59.9,3505.1,0,0.017089384040398278,5,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3638-WEABW
0,49,59.6,2970.3,0,0.020065313268020066,5,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,6322-HRPFA
0,30,55.3,1530.6,0,0.036129622370312295,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6865-JZNKO
0,47,99.35,4749.15,1,0.02091953296905762,6,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,6467-CHFZW
0,1,30.2,30.2,1,1.0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8665-UTDHZ
0,72,90.25,6369.45,0,0.014169198282426269,9,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,5248-YGIJN
0,17,64.7,1093.1,1,0.059189461165492646,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,8773-HHUOZ
1,71,96.35,6766.95,0,0.014238320070341882,7,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,3841-NFECX
1,2,95.5,181.65,0,0.5257363060831268,5,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,4929-XIHVW
0,27,66.15,1874.45,0,0.03529035183653872,6,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,6827-IEAUQ
0,1,20.2,20.2,0,1.0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7310-EGVHZ
1,1,45.25,45.25,0,1.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413-BMNZE
0,72,99.9,7251.7,0,0.013776080091564738,7,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,6234-RAAPL
0,5,69.7,316.9,1,0.21994319974755447,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6047-YHPVI
0,46,74.8,3548.3,0,0.021080517430882392,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,6572-ADKRS
0,34,106.35,3549.25,1,0.02996407691765866,7,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5380-WJKOV
0,11,97.85,1105.4,1,0.08851999276280079,6,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8168-UQWWF
0,10,49.55,475.7,0,0.10416228715577044,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8865-TNMNX
0,70,69.2,4872.35,0,0.014202592178312313,6,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,9489-DEDVP
0,17,20.75,418.25,0,0.049611476389719064,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,9867-JCZSP
0,63,79.85,4861.45,0,0.016425140647337726,8,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,4671-VJLCL
0,13,76.2,981.45,0,0.07764022619593458,7,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,4080-IIARD
